"year","latlon","max.area","latitude","longitude","longitude.1","latitude.1"
"2021","36.94579_-122.0622",46,36.94579,-122.0622,-122.0622,36.94579
"2021","36.94671_-122.075",74,36.94671,-122.075,-122.075,36.94671
"2021","36.94716_-122.0639",672,36.94716,-122.0639,-122.0639,36.94716
"2021","36.94734_-122.0524",735,36.94734,-122.0524,-122.0524,36.94734
"2021","36.94749_-122.071",158,36.94749,-122.071,-122.071,36.94749
"2021","36.94805_-122.0733",483,36.94805,-122.0733,-122.0733,36.94805
"2021","36.94807_-122.0767",46,36.94807,-122.0767,-122.0767,36.94807
"2021","36.949_-122.0238",55,36.949,-122.0238,-122.0238,36.949
"2021","36.9498_-122.0908",113,36.9498,-122.0908,-122.0908,36.9498
"2021","36.94983_-122.0258",149,36.94983,-122.0258,-122.0258,36.94983
"2021","36.94991_-121.9712",41,36.94991,-121.9712,-121.9712,36.94991
"2021","36.95036_-122.0932",56,36.95036,-122.0932,-122.0932,36.95036
"2021","36.95052_-121.9796",118,36.95052,-121.9796,-121.9796,36.95052
"2021","36.95087_-122.0884",61,36.95087,-122.0884,-122.0884,36.95087
"2021","36.95119_-122.0952",110,36.95119,-122.0952,-122.0952,36.95119
"2021","36.95148_-122.0975",65,36.95148,-122.0975,-122.0975,36.95148
"2021","36.95169_-122.0905",621,36.95169,-122.0905,-122.0905,36.95169
"2021","36.95172_-122.0251",42,36.95172,-122.0251,-122.0251,36.95172
"2021","36.95177_-122.0999",175,36.95177,-122.0999,-122.0999,36.95177
"2021","36.95267_-121.9782",278,36.95267,-121.9782,-121.9782,36.95267
"2021","36.95317_-122.1066",169,36.95317,-122.1066,-122.1066,36.95317
"2021","36.95324_-121.9816",24,36.95324,-121.9816,-121.9816,36.95324
"2021","36.95449_-121.9691",641,36.95449,-121.9691,-121.9691,36.95449
"2021","36.95514_-121.9816",114,36.95514,-121.9816,-121.9816,36.95514
"2021","36.95525_-121.963",143,36.95525,-121.963,-121.963,36.95525
"2021","36.95925_-121.9569",36,36.95925,-121.9569,-121.9569,36.95925
"2021","36.96331_-122.1244",97,36.96331,-122.1244,-122.1244,36.96331
"2021","36.96332_-122.1267",595,36.96332,-122.1267,-122.1267,36.96332
"2021","36.9672_-122.1391",193,36.9672,-122.1391,-122.1391,36.9672
"2021","36.9691_-122.1405",205,36.9691,-122.1405,-122.1405,36.9691
"2021","36.96993_-122.1425",79,36.96993,-122.1425,-122.1425,36.96993
"2021","36.97072_-122.1394",106,36.97072,-122.1394,-122.1394,36.97072
"2021","36.97156_-122.1435",110,36.97156,-122.1435,-122.1435,36.97156
"2021","36.97238_-121.9436",47,36.97238,-121.9436,-121.9436,36.97238
"2021","36.97262_-122.1404",105,36.97262,-122.1404,-122.1404,36.97262
"2021","36.97348_-122.1478",97,36.97348,-122.1478,-122.1478,36.97348
"2021","36.97372_-122.1428",113,36.97372,-122.1428,-122.1428,36.97372
"2021","36.97433_-122.1522",54,36.97433,-122.1522,-122.1522,36.97433
"2021","37.10315_-122.2922",209,37.10315,-122.2922,-122.2922,37.10315
"2021","37.10795_-122.3263",36,37.10795,-122.3263,-122.3263,37.10795
"2021","37.11024_-122.302",180,37.11024,-122.302,-122.302,37.11024
"2021","37.11113_-122.3148",196,37.11113,-122.3148,-122.3148,37.11113
"2021","37.11134_-122.304",340,37.11134,-122.304,-122.304,37.11134
"2021","37.11143_-122.3195",292,37.11143,-122.3195,-122.3195,37.11143
"2021","37.11189_-122.3063",117,37.11189,-122.3063,-122.3063,37.11189
"2021","37.11302_-122.3144",211,37.11302,-122.3144,-122.3144,37.11302
"2021","37.11359_-122.3191",187,37.11359,-122.3191,-122.3191,37.11359
"2021","37.11382_-122.3121",90,37.11382,-122.3121,-122.3121,37.11382
"2021","37.88798_-122.6973",86,37.88798,-122.6973,-122.6973,37.88798
"2021","37.89286_-122.6986",74,37.89286,-122.6986,-122.6986,37.89286
"2021","37.89663_-122.6959",59,37.89663,-122.6959,-122.6959,37.89663
"2021","37.94224_-122.7756",233,37.94224,-122.7756,-122.7756,37.94224
"2021","37.94305_-122.7735",70,37.94305,-122.7735,-122.7735,37.94305
"2021","37.98285_-122.8065",150,37.98285,-122.8065,-122.8065,37.98285
"2021","38.45905_-123.1481",108,38.45905,-123.1481,-123.1481,38.45905
"2021","38.46634_-123.1584",129,38.46634,-123.1584,-123.1584,38.46634
"2021","38.49409_-123.217",234,38.49409,-123.217,-123.217,38.49409
"2021","38.50487_-123.2369",300,38.50487,-123.2369,-123.2369,38.50487
"2021","38.52048_-123.2666",285,38.52048,-123.2666,-123.2666,38.52048
"2021","38.52912_-123.2711",234,38.52912,-123.2711,-123.2711,38.52912
"2021","38.53397_-123.2818",266,38.53397,-123.2818,-123.2818,38.53397
"2021","38.5415_-123.2956",81,38.5415,-123.2956,-123.2956,38.5415
"2021","38.55418_-123.307",261,38.55418,-123.307,-123.307,38.55418
"2021","38.58085_-123.3426",41,38.58085,-123.3426,-123.3426,38.58085
"2021","38.58409_-123.3423",291,38.58409,-123.3423,-123.3423,38.58409
"2021","38.63341_-123.3911",139,38.63341,-123.3911,-123.3911,38.63341
"2021","38.63906_-123.4008",177,38.63906,-123.4008,-123.4008,38.63906
"2021","38.73787_-123.5059",47,38.73787,-123.5059,-123.5059,38.73787
"2021","38.76045_-123.5344",227,38.76045,-123.5344,-123.5344,38.76045
"2021","38.77016_-123.5396",149,38.77016,-123.5396,-123.5396,38.77016
"2021","38.77069_-123.5421",110,38.77069,-123.5421,-123.5421,38.77069
"2021","38.77765_-123.5566",259,38.77765,-123.5566,-123.5566,38.77765
"2021","38.77983_-123.5539",63,38.77983,-123.5539,-123.5539,38.77983
"2021","38.78224_-123.5577",120,38.78224,-123.5577,-123.5577,38.78224
"2021","38.78304_-123.5598",72,38.78304,-123.5598,-123.5598,38.78304
