site_name,total.years,pre.mhw.years,during.mhw.years,post.mhw.years,longitude,latitude
Caspar,10,2,3,5,-123.822,39.36173
Caspar North,8,NA,3,5,-123.821327,39.364429
Dark Gulch,1,NA,NA,1,-123.77615,39.2403
Flat Iron Rock,2,NA,NA,3,-124.157829,41.059425
Fort Ross,15,7,3,5,-123.245,38.5106
Frolic Cove,8,NA,3,5,-123.823868,39.355026
Gerstle Cove,16,8,3,5,-123.33,38.56646
Glass Beach,4,NA,1,3,-123.814728,39.451645
MacKerricher North,4,NA,NA,4,-123.802,39.4928
Mendocino Headlands,13,6,3,4,-123.811,39.30528
Monument,3,NA,NA,3,-123.735,38.9277
Ocean Cove,14,6,3,5,-123.305664,38.555119
Pebble Beach,6,NA,2,4,-123.442,38.69121
Point Arena Lighthouse,4,NA,NA,4,-123.744,38.9512
Point Arena MPA (M2),7,3,1,3,-123.741,38.9448
Point Arena Ref,8,3,1,4,-123.719,38.908
Portuguese Beach,12,6,1,5,-123.803,39.30323
Pyramid Point,3,NA,NA,3,-124.217,41.9948
Russian Gulch,8,NA,3,5,-123.809,39.32798
Salt Point,5,NA,NA,5,-123.329,38.5649
Stillwater Sonoma,15,7,3,5,-123.288803,38.540298
Stornetta,3,3,NA,NA,-123.732,38.93724
Timber Cove,1,NA,NA,1,-123.277,38.5306
Trinidad,7,2,NA,5,-124.14,41.055
Van Damme,15,7,3,5,-123.795914,39.271915
