"","summary_stat","mean_stat","submodel"
"1","dev.exp",0.613750456100015,"bm1.1"
"2","mean_R.Sqr",0.603140563291804,"bm1.1"
"3","mean_R.sqr_test",0.958963933432876,"bm1.1"
"4","mean_residuals",0.00634981744169415,"bm1.1"
"5","mean_residuals_test",2.07534350711407,"bm1.1"
"6","rmse",2.61328215062376,"bm1.1"
"7","dev.exp",0.60777234613397,"bm1.2"
"8","mean_R.Sqr",0.621853489405182,"bm1.2"
"9","mean_R.sqr_test",0.961623842630324,"bm1.2"
"10","mean_residuals",0.00366339210490879,"bm1.2"
"11","mean_residuals_test",2.09377724440284,"bm1.2"
"12","rmse",2.63057579026189,"bm1.2"
"13","dev.exp",0.6160547817038,"bm1.3"
"14","mean_R.Sqr",0.632283046008525,"bm1.3"
"15","mean_R.sqr_test",0.941679293755442,"bm1.3"
"16","mean_residuals",0.00382695790281449,"bm1.3"
"17","mean_residuals_test",2.09551409990017,"bm1.3"
"18","rmse",2.6119822741549,"bm1.3"
"19","dev.exp",0.627859198612605,"bm1.4"
"20","mean_R.Sqr",0.636566050529959,"bm1.4"
"21","mean_R.sqr_test",0.999222456656395,"bm1.4"
"22","mean_residuals",0.00445772279249916,"bm1.4"
"23","mean_residuals_test",2.10626071189755,"bm1.4"
"24","rmse",2.63397900695946,"bm1.4"
"25","dev.exp",0.630225981363472,"bm1.5"
"26","mean_R.Sqr",0.629026364730972,"bm1.5"
"27","mean_R.sqr_test",0.899055139626749,"bm1.5"
"28","mean_residuals",0.00557911534998989,"bm1.5"
"29","mean_residuals_test",2.07383266845033,"bm1.5"
"30","rmse",2.58268825597047,"bm1.5"
"31","dev.exp",0.60664654488164,"bm2.1"
"32","mean_R.Sqr",0.611598555529384,"bm2.1"
"33","mean_R.sqr_test",0.976802291509371,"bm2.1"
"34","mean_residuals",0.00619313185389587,"bm2.1"
"35","mean_residuals_test",2.06320332959737,"bm2.1"
"36","rmse",2.62467348734277,"bm2.1"
"37","dev.exp",0.604576557097115,"bm2.2"
"38","mean_R.Sqr",0.642856703437326,"bm2.2"
"39","mean_R.sqr_test",1.01564274598363,"bm2.2"
"40","mean_residuals",0.00344940211004977,"bm2.2"
"41","mean_residuals_test",2.08858743636312,"bm2.2"
"42","rmse",2.64147916488115,"bm2.2"
"43","dev.exp",0.61770763100409,"bm2.3"
"44","mean_R.Sqr",0.65011364418154,"bm2.3"
"45","mean_R.sqr_test",0.943658807459911,"bm2.3"
"46","mean_residuals",0.00355260809449093,"bm2.3"
"47","mean_residuals_test",2.09073387213458,"bm2.3"
