"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Days_10N","Min_Monthly_Nitrate","Max_Monthly_Nitrate","Mean_Monthly_Nitrate","Mean_Monthly_Upwelling_Nitrate","Mean_Monthly_Temp","Max_Monthly_Anomaly_Upwelling_Temp","wh_95prc","wh_max","log_den_STRPURAD","log_Days_16C","log_UBR_Mean","log_UBR_Max","log_Mean_Monthly_NPP_Upwelling","Mean_Monthly_NPP","Max_Monthly_NPP_Upwelling","cumsum.wi"
"log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Nitrate+wh_max","log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Nitrate+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1322.07108174037,1517.44815357781,0.44494,NA,42,0,0,15.997,0.179,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0.179
"Days_10N+log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+wh_max","Days_10N+log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1322.32162824891,1515.55990790955,0.44393,NA,41.46,0,0.251,14.109,0.158,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0.337
"log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+wh_max","log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1322.36936194212,1513.64300084688,0.44358,NA,40.83,0,0.298,12.192,0.154,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0.491
"log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+wh_max","log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1323.48433704042,1518.85288913368,0.44403,NA,41.89,0,1.413,17.402,0.088,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0.579
"log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Nitrate+wh_95prc+wh_max","log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Nitrate+wh_95prc+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1324.30171719971,1516.16142956338,0.50332,NA,41.25,0,2.231,14.71,0.059,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0.638
"log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Nitrate+wh_max","log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Nitrate+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1324.4667065323,1505.89639081908,0.48146,NA,39.65,0,2.396,4.445,0.054,0.012,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0.692
"Days_10N+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Nitrate+wh_max","Days_10N+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Nitrate+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1324.7620015514,1508.12385157506,0.48181,NA,40.28,0,2.691,6.673,0.047,0.004,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0.739
"log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+wh_max","log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1325.26721741737,1506.53015401532,0.48097,NA,39.6,0,3.196,5.079,0.036,0.009,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0.775
"log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_max","log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1325.53073290821,1525.41913669071,0.44874,NA,42.33,0,3.46,23.968,0.032,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0.807
"Days_10N+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+wh_max","Days_10N+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1325.58275271426,1508.85966335913,0.48132,NA,40.25,0,3.512,7.408,0.031,0.003,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0.838
