,modname,formula,AICc,BIC,r2.vals,r2.vals.unique,edf,edf.less.1,delta.AICc,delta.BIC,wi.AICc,wi.BIC,Days_10N,Min_Monthly_Nitrate,Max_Monthly_Nitrate,Mean_Monthly_Nitrate,Mean_Monthly_Upwelling_Nitrate,Max_Monthly_Anomaly_Nitrate,Mean_Monthly_Summer_Nitrate,Mean_Monthly_Temp,Mean_Monthly_Summer_Temp,MHW_Upwelling_Days,Min_Monthly_Anomaly_Temp,Max_Monthly_Anomaly_Upwelling_Temp,Min_Monthly_Temp,Mean_Monthly_Upwelling_Temp,mean_depth,mean_prob_of_rock,wh_max,wh_mean,wh_95prc,Mean_Monthly_NPP,Max_Monthly_NPP_Upwelling,log_den_MESFRAAD,log_den_STRPURAD,log_den_PYCHEL,log_Days_16C,log_UBR_Mean,log_UBR_Max,log_Mean_Monthly_NPP_Upwelling,log_Min_Monthly_NPP,cumsum.wi
log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+MHW_Upwelling_Days+wh_max,log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+MHW_Upwelling_Days+wh_max,"s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(MHW_Upwelling_Days, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1270.053756,1404.925486,0.13831,NA,30.18,1,0,0,0.404,0.49,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0.404
log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+wh_max,log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+wh_max,"s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1271.02903,1419.735256,0.41294,NA,33,1,0.975,14.81,0.248,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0.652
log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+wh_max,log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+wh_max,"s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1273.658726,1406.556788,0.35909,NA,29.74,1,3.605,1.631,0.067,0.217,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0.719
log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_Summer_Temp+mean_prob_of_rock+wh_max,log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_Summer_Temp+mean_prob_of_rock+wh_max,"s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(Mean_Monthly_Summer_Temp, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1275.138187,1415.042617,0.35948,NA,31.21,1,5.084,10.117,0.032,0.003,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0.751
log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+wh_max,log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+wh_max,"s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1275.154358,1421.730266,0.39701,NA,32.5,1,5.101,16.805,0.032,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0.783
Days_10N+log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+wh_max,Days_10N+log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+wh_max,"s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1275.740954,1417.256106,0.38532,NA,31.31,1,5.687,12.331,0.023,0.001,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0.806
log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+mean_depth+mean_prob_of_rock+wh_max,log_Days_16C+log_UBR_Max+Max_Monthly_Nitrate+Max_Monthly_NPP_Upwelling+mean_depth+mean_prob_of_rock+wh_max,"s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1275.939631,1418.398978,0.39951,NA,31.81,1,5.886,13.473,0.021,0.001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0.827
log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+wh_max,log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+wh_max,"s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1276.195314,1422.052168,0.40341,NA,32.36,1,6.142,17.127,0.019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0.846
log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+wh_max,log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+Mean_Monthly_NPP+mean_prob_of_rock+wh_max,"s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1276.418916,1423.472211,0.45446,NA,32.51,1,6.365,18.547,0.017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0.863
log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+wh_max,log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+mean_depth+mean_prob_of_rock+wh_max,"s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1276.694751,1423.613475,0.41059,NA,32.59,1,6.641,18.688,0.015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0.878
