"","summary_stat","mean_stat","se_stat","submodel"
"1","dev.exp",0.639880428520612,0.00188944072048293,"bm1"
"2","mean_R.Sqr",0.66431588678359,0.00177665632789222,"bm1"
"3","mean_R.sqr_test",3.73084390570675,2.36040536301766,"bm1"
"4","mean_residuals",0.00384995196996578,0.000171261067603371,"bm1"
"5","mean_residuals_test",2.49308571969559,0.277801631625397,"bm1"
"6","rmse",3.45692160071397,0.632725256003212,"bm1"
"7","dev.exp",0.647859195106969,0.00143153536826776,"bm2"
"8","mean_R.Sqr",0.682832643712106,0.00119372733488545,"bm2"
"9","mean_R.sqr_test",0.98944904085614,0.0414040494051919,"bm2"
"10","mean_residuals",0.00347927690013127,4.0819565120233e-05,"bm2"
"11","mean_residuals_test",2.13503415634782,0.052349928012111,"bm2"
"12","rmse",2.63827385238749,0.0462148572325788,"bm2"
"13","dev.exp",0.652903015784318,0.00165037351171991,"bm3"
"14","mean_R.Sqr",0.669953798760769,0.00126576680093004,"bm3"
"15","mean_R.sqr_test",4.23844049893579,2.93859232996697,"bm3"
"16","mean_residuals",0.00389075890480453,0.000120045321724603,"bm3"
"17","mean_residuals_test",2.43478180167867,0.209201135607241,"bm3"
"18","rmse",3.32166215657084,0.506912788809061,"bm3"
"19","dev.exp",0.65879377295975,0.00137144295211804,"bm4"
"20","mean_R.Sqr",0.688749861559546,0.00151535110783219,"bm4"
"21","mean_R.sqr_test",1.03837847851093,0.104256253699226,"bm4"
"22","mean_residuals",0.00342909168050792,2.95316292400818e-05,"bm4"
"23","mean_residuals_test",2.14612298303748,0.0461070091990911,"bm4"
"24","rmse",2.63269759249507,0.0426727622724334,"bm4"
