"","summary_stat","mean_stat","submodel"
"1","dev.exp",0.618606327182326,"bm1.1"
"2","mean_R.Sqr",0.794582039995889,"bm1.1"
"3","mean_R.sqr_test",0.118012101659425,"bm1.1"
"4","mean_residuals",0.00368718530105928,"bm1.1"
"5","mean_residuals_test",2.56582947420982,"bm1.1"
"6","rmse",3.33079076855017,"bm1.1"
"7","dev.exp",0.618591473406264,"bm1.2"
"8","mean_R.Sqr",0.798198633586602,"bm1.2"
"9","mean_R.sqr_test",0.114742227606672,"bm1.2"
"10","mean_residuals",0.00345053837792309,"bm1.2"
"11","mean_residuals_test",2.56234230367862,"bm1.2"
"12","rmse",3.33324166065681,"bm1.2"
"13","dev.exp",0.623782006512725,"bm1.3"
"14","mean_R.Sqr",0.802342985512995,"bm1.3"
"15","mean_R.sqr_test",0.118245722790135,"bm1.3"
"16","mean_residuals",0.00351137736823411,"bm1.3"
"17","mean_residuals_test",2.5663435256309,"bm1.3"
"18","rmse",3.33566107284588,"bm1.3"
"19","dev.exp",0.61859179270771,"bm1.4"
"20","mean_R.Sqr",0.800513708498507,"bm1.4"
"21","mean_R.sqr_test",0.118827080348616,"bm1.4"
"22","mean_residuals",0.00338391530060063,"bm1.4"
"23","mean_residuals_test",2.56830468887481,"bm1.4"
"24","rmse",3.33413857879274,"bm1.4"
"25","dev.exp",0.619328940351655,"bm2.1"
"26","mean_R.Sqr",0.794377432495742,"bm2.1"
"27","mean_R.sqr_test",0.11768953992466,"bm2.1"
"28","mean_residuals",0.00374515714249118,"bm2.1"
"29","mean_residuals_test",2.56510236276665,"bm2.1"
"30","rmse",3.33257354545986,"bm2.1"
"31","dev.exp",0.620381404884398,"bm2.2"
"32","mean_R.Sqr",0.798756171963499,"bm2.2"
"33","mean_R.sqr_test",0.117339815106577,"bm2.2"
"34","mean_residuals",0.00353685899754334,"bm2.2"
"35","mean_residuals_test",2.56066389480496,"bm2.2"
"36","rmse",3.32842335124887,"bm2.2"
"37","dev.exp",0.623695940309005,"bm2.3"
"38","mean_R.Sqr",0.802224873471128,"bm2.3"
"39","mean_R.sqr_test",0.11777336582714,"bm2.3"
"40","mean_residuals",0.00353791270309136,"bm2.3"
"41","mean_residuals_test",2.56496682470836,"bm2.3"
"42","rmse",3.32754001974208,"bm2.3"
"43","dev.exp",0.619170293428314,"bm2.4"
"44","mean_R.Sqr",0.80023707822364,"bm2.4"
"45","mean_R.sqr_test",0.116978028325277,"bm2.4"
"46","mean_residuals",0.00340452348007002,"bm2.4"
"47","mean_residuals_test",2.56938092492816,"bm2.4"
"48","rmse",3.33870090820134,"bm2.4"
