"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","log_Days_16C","Max_Monthly_Anomaly_Upwelling_Temp","Days_10N","log_UBR_Max","mean_depth","mean_prob_of_rock","log_Mean_Monthly_NPP_Upwelling","log_Min_Monthly_NPP","cumsum.wi"
"Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp","Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2465.90373708445,2676.58595766575,0.7337,NA,42.61,0,0,35.751,0.388,0,0,1,1,1,0,0,1,1,0.388
"Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2467.81753042785,2678.47120596253,0.73409,NA,42.23,0,1.914,37.637,0.149,0,0,1,1,1,0,1,1,1,0.537
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2468.22480987004,2682.90072751552,0.73363,NA,43.52,0,2.321,42.066,0.122,0,1,1,1,1,0,0,1,1,0.659
"Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2468.31735378536,2674.98443148952,0.73326,NA,41.05,0,2.414,34.15,0.116,0,0,1,1,1,1,0,1,1,0.775
"Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","Days_10N+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2469.37395300721,2670.84118936524,0.73343,NA,39.82,0,3.47,30.007,0.068,0,0,1,1,1,1,1,1,1,0.843
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2470.07254748877,2684.72249718102,0.73405,NA,43.15,0,4.169,43.888,0.048,0,1,1,1,1,0,1,1,1,0.891
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2470.77613358338,2680.63935487724,0.73265,NA,41.74,0,4.872,39.805,0.034,0,1,1,1,1,1,0,1,1,0.925
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2471.62878337098,2676.5006799465,0.73289,NA,40.56,0,5.725,35.666,0.022,0,1,1,1,1,1,1,1,1,0.947
"Days_10N+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp","Days_10N+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp","s(Days_10N, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2472.99959116848,2671.40854010335,0.73373,NA,39.97,0,7.096,30.574,0.011,0,0,1,1,1,0,0,0,1,0.958
"Days_10N+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","Days_10N+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2474.11432246261,2672.97433116459,0.73441,NA,39.69,0,8.211,32.14,0.006,0,0,1,1,1,0,1,0,1,0.964
